episode,reward,profit_dollars,num_trades,sharpe_ratio,win_rate,max_drawdown,loss,avg_loss,epsilon,adaptive_epsilon,oos_profit_dollars,oos_num_trades,oos_sharpe_ratio,oos_win_rate,oos_max_drawdown,exploration_balance,hold_pct,buy_pct,sell_pct
36,0.3621,457.64,8,3.342,0.750,0.063,0.1071,0.1248,0.480,0.480,252.49,0.3333333333333333,0.000,0.333,0.000,0.461,0.211,0.332,0.457
37,0.0728,75.62,4,3.516,0.250,0.006,0.1090,0.1232,0.497,0.497,-55.87,0.3333333333333333,0.000,0.000,0.006,0.446,0.208,0.325,0.467
38,-0.0321,-105.64,5,-1.530,0.600,0.041,0.1168,0.1223,0.485,0.485,-203.74,0.6666666666666666,0.000,0.000,0.020,0.435,0.205,0.324,0.471
39,-0.0005,117.98,7,0.896,0.429,0.046,0.1179,0.1213,0.500,0.500,252.49,0.6666666666666666,0.000,0.333,0.000,0.423,0.202,0.321,0.477
40,-0.1845,-700.66,7,-6.841,0.429,0.070,0.1231,0.1211,0.488,0.488,-33.59,1.0,0.000,0.667,0.043,0.417,0.199,0.324,0.477
41,-0.1691,-1003.67,11,-4.557,0.455,0.105,0.1088,0.1206,0.476,0.476,-39.09,1.0,0.000,0.333,0.004,0.413,0.198,0.323,0.479
42,0.0521,116.16,10,1.141,0.300,0.043,0.1213,0.1194,0.464,0.464,-389.73,1.0,-7.673,0.000,0.039,0.406,0.197,0.319,0.484
43,0.2083,368.18,4,4.570,0.500,0.029,0.1196,0.1192,0.452,0.452,-416.41,1.3333333333333333,-5.523,0.000,0.042,0.409,0.199,0.314,0.487
44,0.1777,648.06,3,11.011,0.667,0.021,0.0998,0.1178,0.495,0.495,-105.73,1.6666666666666667,-2.690,0.133,0.016,0.410,0.201,0.309,0.490
45,0.2721,219.62,2,72.398,1.000,0.000,0.0921,0.1160,0.483,0.483,-133.45,1.0,0.000,0.000,0.013,0.404,0.200,0.304,0.496
46,-0.1392,-411.57,5,-12.550,0.200,0.051,0.1079,0.1151,0.471,0.471,0.00,0.3333333333333333,0.000,0.000,0.000,0.394,0.198,0.300,0.502
47,0.1497,316.60,8,2.891,0.375,0.029,0.0941,0.1144,0.459,0.459,-53.66,0.6666666666666666,0.000,0.000,0.005,0.388,0.196,0.299,0.505
48,-0.3648,-956.75,9,-11.679,0.111,0.113,0.1226,0.1150,0.497,0.497,0.00,1.0,0.000,0.000,0.000,0.384,0.194,0.302,0.504
49,-0.2214,-992.15,13,-4.410,0.462,0.135,0.1059,0.1151,0.485,0.485,0.00,1.0,0.000,0.000,0.000,0.387,0.191,0.313,0.495
50,-0.0999,-162.23,8,-0.580,0.625,0.139,0.0927,0.1148,0.473,0.473,0.00,1.0,0.000,0.000,0.000,0.387,0.189,0.323,0.488
51,-0.2507,-829.97,11,-10.822,0.182,0.086,0.1038,0.1142,0.497,0.497,-45.60,1.3333333333333333,-0.566,0.167,0.024,0.386,0.188,0.325,0.487
52,0.1556,72.64,5,1.400,0.400,0.030,0.0703,0.1130,0.485,0.485,565.85,3.0,5.545,0.444,0.033,0.393,0.188,0.333,0.479
53,0.2745,914.32,10,6.849,0.500,0.022,0.0732,0.1114,0.500,0.500,-78.30,0.6666666666666666,-12.389,0.000,0.008,0.391,0.188,0.331,0.481
54,0.0798,50.35,6,1.859,0.500,0.013,0.0666,0.1092,0.488,0.488,-250.92,3.0,-0.252,0.190,0.032,0.394,0.190,0.326,0.483
55,0.2719,187.46,2,1441.329,1.000,0.000,0.0763,0.1069,0.476,0.476,-53.78,1.6666666666666667,-2.109,0.083,0.006,0.394,0.191,0.323,0.486
56,0.1758,110.02,2,15.959,1.000,0.000,0.0419,0.1033,0.495,0.495,0.00,0.0,0.000,0.000,0.000,0.385,0.190,0.318,0.492
57,0.0896,122.13,9,1.168,0.556,0.043,0.0639,0.0996,0.483,0.483,252.49,0.3333333333333333,0.000,0.333,0.000,0.380,0.188,0.317,0.495
58,-0.1426,-902.14,11,-4.047,0.273,0.108,0.0534,0.0965,0.471,0.471,36.33,0.3333333333333333,0.000,0.333,0.000,0.375,0.187,0.315,0.498
59,0.1817,-132.44,6,-12.191,0.167,0.014,0.0531,0.0939,0.459,0.459,-1.77,3.3333333333333335,-0.480,0.333,0.037,0.379,0.188,0.314,0.497
60,-0.0466,-418.44,3,-84.953,0.000,0.042,0.0656,0.0923,0.500,0.500,-214.06,3.6666666666666665,-20.988,0.300,0.052,0.381,0.189,0.313,0.497
61,0.1063,-211.12,7,-11.199,0.143,0.021,0.0626,0.0905,0.488,0.488,-123.11,2.0,-1.104,0.167,0.044,0.386,0.190,0.316,0.494
62,0.1256,690.83,8,3.833,0.625,0.069,0.0477,0.0880,0.476,0.476,209.26,1.3333333333333333,-0.738,0.500,0.034,0.387,0.188,0.324,0.488
63,-0.3649,-1271.18,7,-7.601,0.571,0.129,0.0519,0.0854,0.464,0.464,0.00,1.0,0.000,0.000,0.000,0.388,0.187,0.332,0.481
64,-0.2027,-538.51,8,-3.641,0.625,0.105,0.0472,0.0826,0.452,0.452,0.00,1.0,0.000,0.000,0.000,0.388,0.185,0.340,0.475
65,0.1862,159.68,10,1.341,0.600,0.055,0.0454,0.0795,0.441,0.441,-1349.95,2.6666666666666665,-31.632,0.222,0.181,0.391,0.183,0.347,0.469
66,0.0605,-453.26,6,-1.744,0.667,0.141,0.0401,0.0768,0.495,0.495,-418.39,1.6666666666666667,-3.060,0.111,0.047,0.392,0.182,0.355,0.464
67,0.1429,31.67,10,0.784,0.700,0.016,0.0282,0.0730,0.483,0.483,0.00,1.0,0.000,0.000,0.000,0.393,0.180,0.362,0.457
68,-0.3437,-1214.06,10,-10.019,0.100,0.121,0.0322,0.0695,0.497,0.497,-212.56,1.0,0.000,0.000,0.021,0.395,0.178,0.370,0.452
69,-0.0496,7.44,8,0.137,0.375,0.016,0.0209,0.0664,0.485,0.485,0.00,1.0,0.000,0.000,0.000,0.397,0.177,0.377,0.446
70,0.0619,-150.46,8,-1.284,0.500,0.046,0.0243,0.0637,0.500,0.500,0.00,1.0,0.000,0.000,0.000,0.398,0.175,0.383,0.441
71,0.2612,773.76,10,6.353,0.400,0.015,0.0321,0.0606,0.488,0.488,0.00,1.0,0.000,0.000,0.000,0.399,0.174,0.389,0.437
