episode,reward,profit_dollars,num_trades,sharpe_ratio,win_rate,max_drawdown,loss,avg_loss,epsilon,adaptive_epsilon,oos_profit_dollars,oos_num_trades,oos_sharpe_ratio,oos_win_rate,oos_max_drawdown,exploration_balance,hold_pct,buy_pct,sell_pct
159,0.0405,-329.23,10,-5.939,0.200,0.048,0.0114,0.0117,0.483,0.483,0.00,1.0,0.000,0.000,0.000,0.338,0.174,0.517,0.309
160,0.1980,719.07,11,6.139,0.455,0.034,0.0070,0.0114,0.497,0.497,0.00,1.0,0.000,0.000,0.000,0.335,0.174,0.519,0.307
161,-0.2831,-1476.42,11,-7.300,0.364,0.148,0.0096,0.0112,0.485,0.485,-173.03,1.6666666666666667,-9.755,0.333,0.021,0.333,0.173,0.521,0.305
162,0.0019,-387.75,5,-6.167,0.200,0.058,0.0134,0.0113,0.473,0.473,134.15,11.666666666666666,0.623,0.602,0.071,0.338,0.176,0.520,0.304
163,0.1493,-222.66,5,-11.372,0.200,0.024,0.0073,0.0111,0.461,0.461,0.00,0.0,0.000,0.000,0.000,0.348,0.180,0.518,0.302
164,0.3208,672.02,5,12.229,0.800,0.010,0.0080,0.0111,0.490,0.490,0.00,0.0,0.000,0.000,0.000,0.357,0.184,0.515,0.302
165,0.3822,1721.09,6,9.115,0.667,0.013,0.0074,0.0108,0.478,0.478,0.00,0.0,0.000,0.000,0.000,0.365,0.187,0.512,0.301
166,0.0250,50.76,5,0.724,0.400,0.032,0.0077,0.0107,0.493,0.493,-660.69,7.0,-4.203,0.386,0.085,0.371,0.189,0.510,0.301
167,0.0073,-159.90,6,-9.112,0.167,0.016,0.0118,0.0106,0.480,0.480,105.10,1.6666666666666667,-2.506,0.222,0.008,0.372,0.189,0.509,0.302
168,-0.2766,-851.49,5,-10.001,0.400,0.106,0.0135,0.0107,0.495,0.495,-232.10,1.0,0.000,0.333,0.032,0.370,0.189,0.510,0.302
169,0.2964,643.55,9,12.466,0.778,0.011,0.0091,0.0107,0.483,0.483,0.00,1.0,0.000,0.000,0.000,0.367,0.188,0.512,0.300
170,0.3466,1295.44,9,4.115,0.444,0.060,0.0110,0.0104,0.471,0.471,0.00,1.0,0.000,0.000,0.000,0.364,0.187,0.514,0.299
171,0.3088,632.46,6,11.323,0.833,0.003,0.0108,0.0104,0.459,0.459,0.00,1.0,0.000,0.000,0.000,0.361,0.186,0.517,0.297
172,-0.1517,-295.02,6,-3.045,0.500,0.084,0.0062,0.0103,0.493,0.493,0.00,1.0,0.000,0.000,0.000,0.358,0.186,0.519,0.296
173,0.0482,-299.21,9,-1.891,0.333,0.087,0.0108,0.0102,0.480,0.480,0.00,1.0,0.000,0.000,0.000,0.355,0.185,0.521,0.294
174,-0.1382,-361.95,5,-3.507,0.600,0.070,0.0099,0.0101,0.495,0.495,0.00,1.0,0.000,0.000,0.000,0.352,0.184,0.523,0.293
175,-0.3726,-1461.22,5,-21.329,0.000,0.146,0.0096,0.0100,0.483,0.483,0.00,1.0,0.000,0.000,0.000,0.349,0.183,0.526,0.291
176,0.4574,1514.16,7,5.762,0.714,0.067,0.0108,0.0099,0.471,0.471,-875.49,1.3333333333333333,-4.011,0.500,0.103,0.346,0.183,0.528,0.290
177,0.0902,48.34,9,0.336,0.556,0.045,0.0129,0.0100,0.497,0.497,-45.53,6.333333333333333,-1.747,0.572,0.036,0.346,0.183,0.529,0.288
178,-0.0592,-231.29,5,-7.860,0.200,0.028,0.0068,0.0098,0.485,0.485,-714.10,8.333333333333334,-3.924,0.344,0.110,0.351,0.185,0.528,0.287
179,0.1170,33.21,3,3.210,0.333,0.005,0.0116,0.0099,0.473,0.473,-691.65,5.666666666666667,-6.598,0.329,0.104,0.355,0.187,0.527,0.286
180,-0.1229,-806.64,5,-15.425,0.000,0.081,0.0085,0.0098,0.461,0.461,-238.73,8.666666666666666,1.687,0.424,0.059,0.359,0.189,0.526,0.285
181,-0.3251,-826.97,7,-21.120,0.143,0.083,0.0144,0.0100,0.495,0.495,-550.26,7.333333333333333,-6.302,0.327,0.069,0.361,0.190,0.525,0.285
182,0.2847,344.71,11,2.536,0.545,0.040,0.0098,0.0099,0.483,0.483,-133.66,2.3333333333333335,-18.314,0.111,0.013,0.363,0.190,0.525,0.285
183,0.4996,1557.17,8,8.450,0.500,0.035,0.0126,0.0101,0.497,0.497,-773.59,5.666666666666667,-4.590,0.228,0.077,0.367,0.192,0.524,0.284
184,0.1409,291.28,8,1.900,0.625,0.050,0.0109,0.0101,0.485,0.485,-95.39,0.6666666666666666,-7.461,0.000,0.010,0.373,0.194,0.521,0.285
185,0.0308,209.97,1,0.000,1.000,0.000,0.0096,0.0102,0.473,0.473,97.84,1.6666666666666667,0.067,0.889,0.020,0.378,0.196,0.519,0.285
186,-0.0479,-527.97,4,-49.098,0.000,0.053,0.0107,0.0102,0.493,0.493,561.97,3.6666666666666665,29.284,0.833,0.001,0.380,0.197,0.518,0.285
187,0.0748,-209.44,1,0.000,0.000,0.021,0.0119,0.0101,0.480,0.480,183.43,1.3333333333333333,35.572,0.667,0.000,0.381,0.196,0.516,0.288
188,0.1160,-114.26,10,-0.644,0.300,0.063,0.0124,0.0103,0.500,0.500,236.02,1.0,0.000,0.667,0.003,0.379,0.196,0.517,0.288
189,-0.2050,-1255.88,8,-4.151,0.500,0.177,0.0136,0.0106,0.488,0.488,0.00,1.0,0.000,0.000,0.000,0.379,0.195,0.515,0.290
190,0.0821,265.68,6,1.626,0.667,0.095,0.0108,0.0107,0.476,0.476,0.00,1.0,0.000,0.000,0.000,0.377,0.194,0.516,0.290
191,-0.0636,-203.28,4,-2.854,0.500,0.045,0.0114,0.0109,0.490,0.490,-339.22,0.6666666666666666,0.000,0.000,0.034,0.376,0.194,0.515,0.291
192,0.1758,273.03,7,3.797,0.571,0.027,0.0091,0.0107,0.478,0.478,-562.54,2.0,-3.057,0.133,0.056,0.377,0.194,0.514,0.292
193,-0.0711,-363.01,4,-6.990,0.500,0.056,0.0088,0.0106,0.466,0.466,-797.65,3.3333333333333335,-13.344,0.000,0.080,0.380,0.195,0.512,0.294
194,-0.1625,-68.51,1,0.000,0.000,0.007,0.0106,0.0106,0.500,0.500,-140.56,0.6666666666666666,0.000,0.000,0.014,0.389,0.198,0.509,0.293
195,-0.0451,-117.28,6,-2.595,0.333,0.029,0.0098,0.0106,0.488,0.488,-336.15,4.666666666666667,-18.374,0.208,0.051,0.396,0.201,0.507,0.291
196,0.0928,-75.73,7,-1.260,0.571,0.023,0.0118,0.0106,0.476,0.476,-404.86,5.333333333333333,-2.204,0.322,0.078,0.400,0.203,0.507,0.290
197,0.0773,-58.68,9,-0.261,0.444,0.077,0.0085,0.0107,0.464,0.464,-858.73,3.3333333333333335,-5.141,0.300,0.087,0.398,0.202,0.509,0.289
198,0.5081,1150.03,10,11.881,0.700,0.007,0.0089,0.0106,0.452,0.452,-68.96,1.6666666666666667,-1.123,0.111,0.019,0.396,0.202,0.510,0.288
199,-0.5133,-1606.83,7,-6.888,0.286,0.218,0.0073,0.0105,0.500,0.500,37.51,2.0,6.779,0.444,0.019,0.393,0.201,0.512,0.286
