episode,reward,profit_dollars,num_trades,sharpe_ratio,win_rate,max_drawdown,loss,avg_loss,epsilon,oos_profit_dollars,oos_num_trades,oos_sharpe_ratio,oos_win_rate,oos_max_drawdown
232,0.011,-125.81,4,-4.967,0.250,0.019,0.003,0.006,0.756,-255.90,0.6,-5.900,0.000,0.026
233,-0.181,-1698.60,1,0.000,0.000,0.170,0.009,0.006,0.756,0.00,0.0,0.000,0.000,0.000
234,0.112,1051.59,2,14.666,0.500,0.004,0.006,0.006,0.754,0.00,0.0,0.000,0.000,0.000
235,-0.030,-300.96,4,-6.320,0.500,0.037,0.005,0.006,0.753,0.00,0.0,0.000,0.000,0.000
236,-0.037,-475.96,5,-13.997,0.200,0.048,0.006,0.006,0.753,0.00,0.0,0.000,0.000,0.000
237,0.004,-331.75,4,-14.616,0.250,0.033,0.003,0.006,0.752,0.00,0.0,0.000,0.000,0.000
238,-0.092,-243.78,3,-2.596,0.667,0.074,0.003,0.005,0.751,0.00,0.0,0.000,0.000,0.000
239,-0.011,-41.90,2,-2.109,0.500,0.018,0.007,0.006,0.750,0.00,0.0,0.000,0.000,0.000
240,-0.025,-78.17,4,-3.621,0.250,0.014,0.008,0.005,0.749,0.00,0.0,0.000,0.000,0.000
241,-0.019,-194.00,4,-5.383,0.750,0.029,0.005,0.005,0.748,0.00,0.0,0.000,0.000,0.000
242,-0.076,-293.81,3,-15.669,0.333,0.030,0.003,0.005,0.747,0.00,0.0,0.000,0.000,0.000
243,-0.030,-624.30,2,-70.732,0.000,0.062,0.003,0.005,0.747,0.00,0.0,0.000,0.000,0.000
244,-0.072,494.59,5,8.050,0.800,0.020,0.006,0.005,0.745,0.00,0.0,0.000,0.000,0.000
245,0.065,795.52,2,10.999,0.500,0.018,0.008,0.005,0.744,0.00,0.0,0.000,0.000,0.000
246,0.063,550.03,1,0.000,1.000,0.000,0.004,0.005,0.744,0.00,0.0,0.000,0.000,0.000
247,0.005,-256.00,5,-7.684,0.400,0.026,0.005,0.005,0.743,0.00,0.0,0.000,0.000,0.000
248,-0.009,-215.14,4,-10.403,0.500,0.023,0.007,0.006,0.742,0.00,0.0,0.000,0.000,0.000
249,-0.026,-68.71,3,-1.986,0.667,0.027,0.007,0.006,0.741,147.79,0.4,749.203,0.200,0.000
250,-0.100,-1086.08,4,-10.008,0.500,0.132,0.004,0.006,0.740,125.01,0.4,1.676,0.100,0.006
251,-0.056,-128.61,2,-9.296,0.500,0.017,0.003,0.005,0.739,38.35,0.2,0.000,0.200,0.000
252,-0.089,-1372.03,4,-22.342,0.000,0.137,0.007,0.005,0.738,0.00,0.0,0.000,0.000,0.000
253,-0.044,-89.65,3,-4.704,0.333,0.018,0.005,0.005,0.738,0.00,0.0,0.000,0.000,0.000
254,-0.078,470.19,5,41.595,1.000,0.000,0.003,0.005,0.736,0.00,0.0,0.000,0.000,0.000
255,-0.011,301.14,4,6.879,0.750,0.016,0.004,0.005,0.736,0.00,0.0,0.000,0.000,0.000
256,0.007,-60.48,3,-1.232,0.667,0.037,0.010,0.005,0.735,0.00,0.0,0.000,0.000,0.000
257,0.087,1022.39,4,15.271,0.750,0.011,0.005,0.005,0.734,0.00,0.0,0.000,0.000,0.000
258,0.090,102.13,5,1.979,0.200,0.012,0.008,0.005,0.733,0.00,0.0,0.000,0.000,0.000
259,0.052,666.11,4,16.804,1.000,0.000,0.006,0.005,0.732,0.00,0.0,0.000,0.000,0.000
260,0.072,1039.12,5,17.160,0.800,0.003,0.004,0.005,0.731,0.00,0.0,0.000,0.000,0.000
261,-0.064,-975.81,2,-20.787,0.000,0.098,0.004,0.005,0.730,0.00,0.0,0.000,0.000,0.000
262,-0.132,-1177.50,4,-10.023,0.250,0.118,0.007,0.005,0.730,0.00,0.0,0.000,0.000,0.000
263,-0.023,-64.81,5,-1.823,0.200,0.023,0.005,0.006,0.729,0.00,0.0,0.000,0.000,0.000
264,0.014,225.19,4,3.673,0.500,0.026,0.006,0.005,0.727,90.62,0.4,0.000,0.400,0.000
265,-0.040,315.63,4,6.026,0.750,0.023,0.002,0.005,0.727,-58.14,0.2,0.000,0.000,0.006
266,0.014,-33.54,6,-0.348,0.500,0.049,0.005,0.005,0.726,-71.94,0.2,0.000,0.000,0.007
267,0.066,1186.39,4,25.758,1.000,0.000,0.008,0.005,0.725,0.00,0.0,0.000,0.000,0.000
268,-0.042,-870.71,6,-11.014,0.167,0.087,0.003,0.005,0.725,367.19,0.6,0.000,0.400,0.001
269,0.006,-530.18,4,-13.467,0.250,0.053,0.008,0.006,0.723,0.00,0.0,0.000,0.000,0.000
270,-0.071,439.49,4,9.169,0.500,0.015,0.008,0.006,0.722,0.00,0.0,0.000,0.000,0.000
271,-0.025,-456.90,5,-3.132,0.600,0.119,0.002,0.006,0.722,0.00,0.0,0.000,0.000,0.000
272,0.057,229.59,4,2.115,0.250,0.031,0.006,0.006,0.721,0.00,0.0,0.000,0.000,0.000
273,-0.006,-38.75,5,-0.468,0.600,0.053,0.005,0.006,0.720,0.00,0.0,0.000,0.000,0.000
274,0.045,-91.07,8,-1.373,0.250,0.034,0.005,0.005,0.719,0.00,0.0,0.000,0.000,0.000
275,-0.064,204.81,4,4.411,0.500,0.013,0.005,0.005,0.718,0.00,0.0,0.000,0.000,0.000
276,0.029,-199.02,3,-9.528,0.333,0.027,0.004,0.005,0.717,0.00,0.0,0.000,0.000,0.000
277,-0.008,-126.54,6,-2.447,0.333,0.030,0.005,0.005,0.717,0.00,0.0,0.000,0.000,0.000
278,-0.008,-584.30,7,-7.330,0.286,0.088,0.005,0.005,0.716,0.00,0.0,0.000,0.000,0.000
279,-0.077,159.53,5,4.962,0.400,0.007,0.005,0.005,0.715,0.00,0.0,0.000,0.000,0.000
280,-0.035,-489.59,4,-15.070,0.250,0.049,0.004,0.005,0.714,0.00,0.0,0.000,0.000,0.000
281,-0.093,-703.90,5,-12.454,0.400,0.070,0.004,0.005,0.713,0.00,0.0,0.000,0.000,0.000
282,-0.071,-20.99,2,-0.433,0.500,0.038,0.005,0.005,0.712,0.00,0.0,0.000,0.000,0.000
283,-0.013,-231.16,7,-4.002,0.286,0.029,0.002,0.005,0.712,0.00,0.0,0.000,0.000,0.000
284,-0.071,-517.65,3,-7.840,0.333,0.052,0.006,0.005,0.710,0.00,0.0,0.000,0.000,0.000
285,0.014,-80.97,4,-4.579,0.250,0.017,0.003,0.005,0.710,0.00,0.0,0.000,0.000,0.000
286,0.019,207.09,4,6.148,0.750,0.010,0.004,0.005,0.709,0.00,0.0,0.000,0.000,0.000
287,0.137,1423.97,6,17.163,0.667,0.006,0.004,0.005,0.708,205.91,0.2,0.000,0.200,0.000
288,-0.027,-944.47,3,-16.868,0.333,0.105,0.014,0.005,0.707,0.00,0.0,0.000,0.000,0.000
289,0.151,578.19,6,3.266,0.333,0.067,0.004,0.005,0.706,80.49,0.8,1.548,0.200,0.012
290,-0.034,-76.58,4,-1.337,0.500,0.047,0.005,0.005,0.705,0.00,0.0,0.000,0.000,0.000
291,-0.056,-85.49,4,-7.982,0.500,0.009,0.005,0.005,0.705,0.00,0.0,0.000,0.000,0.000
292,-0.082,-681.42,5,-11.347,0.000,0.068,0.003,0.005,0.704,0.00,0.0,0.000,0.000,0.000
293,-0.056,-505.68,4,-21.312,0.000,0.051,0.003,0.005,0.703,0.00,0.0,0.000,0.000,0.000
294,0.018,477.02,6,8.469,0.667,0.023,0.004,0.005,0.702,0.00,0.0,0.000,0.000,0.000
295,-0.011,283.72,4,6.790,0.750,0.011,0.005,0.005,0.701,0.00,0.0,0.000,0.000,0.000
296,-0.022,206.47,6,7.773,0.667,0.005,0.007,0.005,0.700,0.00,0.0,0.000,0.000,0.000
297,-0.008,72.24,6,1.195,0.667,0.022,0.002,0.005,0.700,0.00,0.0,0.000,0.000,0.000
298,0.003,-287.50,4,-9.068,0.250,0.038,0.005,0.005,0.699,0.00,0.0,0.000,0.000,0.000
299,-0.157,-2212.44,3,-13.748,0.333,0.225,0.004,0.005,0.698,0.00,0.0,0.000,0.000,0.000
