episode,reward,profit_dollars,num_trades,sharpe_ratio,win_rate,max_drawdown,loss,avg_loss,epsilon,oos_profit_dollars,oos_num_trades,oos_sharpe_ratio,oos_win_rate,oos_max_drawdown
53,-0.069,-678.07,3,-17.004,0.333,0.074,0.139,0.136,0.938,0.00,0.0,0.000,0.000,0.000
54,-0.058,-920.65,3,-118.121,0.000,0.092,0.095,0.131,0.936,0.00,0.0,0.000,0.000,0.000
55,0.004,668.50,3,47.769,1.000,0.000,0.078,0.129,0.935,272.05,1.0,2.967,0.700,0.001
56,-0.043,-584.54,4,-25.345,0.000,0.058,0.080,0.125,0.934,-310.85,0.8,0.000,0.000,0.031
57,-0.005,213.21,4,5.712,0.750,0.019,0.044,0.120,0.933,-315.75,0.4,0.000,0.000,0.032
58,0.094,1703.78,6,11.430,0.833,0.008,0.046,0.117,0.932,289.61,1.0,4.308,0.167,0.002
59,0.020,95.84,7,0.606,0.429,0.083,0.058,0.112,0.930,77.56,0.2,0.000,0.200,0.000
60,-0.018,-152.04,5,-3.259,0.400,0.023,0.028,0.110,0.930,0.00,0.0,0.000,0.000,0.000
61,-0.058,100.31,7,1.737,0.286,0.024,0.044,0.104,0.929,0.00,0.0,0.000,0.000,0.000
62,-0.053,-844.33,6,-7.830,0.500,0.120,0.070,0.101,0.928,0.00,0.0,0.000,0.000,0.000
63,0.024,-81.51,6,-0.561,0.500,0.065,0.045,0.094,0.927,0.00,0.0,0.000,0.000,0.000
64,-0.007,83.13,3,3.806,0.667,0.012,0.057,0.091,0.925,0.00,0.0,0.000,0.000,0.000
65,-0.010,-770.97,8,-9.483,0.375,0.078,0.051,0.089,0.924,-185.80,0.2,0.000,0.000,0.019
66,0.053,489.79,5,7.280,0.400,0.008,0.054,0.086,0.923,21.27,0.2,0.000,0.200,0.000
67,0.013,469.19,1,0.000,1.000,0.000,0.039,0.081,0.922,0.00,0.0,0.000,0.000,0.000
68,-0.059,-591.37,6,-7.262,0.333,0.059,0.055,0.079,0.921,191.51,1.6,4.913,0.367,0.016
69,-0.033,-299.26,4,-6.838,0.500,0.037,0.027,0.077,0.919,0.00,0.0,0.000,0.000,0.000
70,-0.103,-1037.43,5,-19.227,0.000,0.104,0.042,0.072,0.918,78.27,0.2,0.000,0.200,0.000
71,-0.072,-813.68,3,-8.371,0.333,0.116,0.027,0.066,0.918,218.87,0.8,11.199,0.400,0.000
72,0.049,875.06,4,15.764,0.750,0.005,0.026,0.064,0.917,171.12,1.0,4.926,0.333,0.004
73,0.048,918.06,2,19.558,1.000,0.000,0.024,0.062,0.916,115.43,0.4,3.776,0.200,0.000
74,-0.010,25.37,4,0.761,0.500,0.018,0.023,0.059,0.914,0.00,0.0,0.000,0.000,0.000
75,0.090,255.20,5,2.444,0.200,0.026,0.027,0.055,0.913,0.00,0.0,0.000,0.000,0.000
76,0.161,1378.26,4,8.950,0.750,0.045,0.023,0.051,0.912,0.00,0.0,0.000,0.000,0.000
77,-0.024,-290.70,4,-14.147,0.250,0.029,0.023,0.049,0.911,0.00,0.0,0.000,0.000,0.000
78,0.001,75.66,2,3.277,0.500,0.014,0.019,0.044,0.910,0.00,0.0,0.000,0.000,0.000
79,-0.029,-1197.14,5,-11.214,0.400,0.129,0.018,0.041,0.908,0.00,0.0,0.000,0.000,0.000
80,0.125,1033.38,6,19.151,1.000,0.000,0.027,0.039,0.908,0.00,0.0,0.000,0.000,0.000
81,-0.040,-331.74,6,-4.629,0.667,0.048,0.022,0.037,0.907,0.00,0.0,0.000,0.000,0.000
82,0.060,254.76,7,2.800,0.429,0.018,0.030,0.036,0.906,0.00,0.0,0.000,0.000,0.000
83,-0.046,-749.93,3,-21.738,0.000,0.075,0.024,0.035,0.905,0.00,0.0,0.000,0.000,0.000
84,-0.039,-1545.21,4,-30.993,0.000,0.155,0.018,0.034,0.903,0.00,0.0,0.000,0.000,0.000
85,-0.053,-869.82,5,-30.451,0.000,0.087,0.017,0.033,0.902,0.00,0.0,0.000,0.000,0.000
