episode,train_profit,oos_profit_fixed,oos_profit_median,oos_profit_mean,oos_win_rate,oos_consistency,train_trades,oos_trades,train_win_rate,train_sharpe,oos_sharpe,loss,epsilon
55,-666.78,1693.41,1354.44,1423.31,0.736,1.000,18,6.0,0.444,-2.109,9.189,0.000535,0.472
56,69.00,105.84,7.20,46.66,0.700,1.000,20,1.6,0.600,0.106,0.335,0.000501,0.471
57,746.01,761.21,761.21,850.98,0.536,1.000,14,11.6,0.643,2.701,2.512,0.000506,0.497
58,516.16,-696.08,288.79,213.03,0.500,0.600,12,3.6,0.417,2.267,1.557,0.000505,0.494
59,-163.38,79.04,227.63,443.91,0.529,0.800,19,14.0,0.421,-0.468,1.179,0.000489,0.493
60,1256.27,0.00,204.07,394.61,0.800,0.800,16,1.0,0.375,4.707,0.000,0.000465,0.488
61,243.08,0.00,0.00,0.00,0.000,0.000,20,0.0,0.450,0.607,0.000,0.000536,0.491
62,2294.64,1307.58,1307.58,1307.58,0.667,1.000,16,3.0,0.688,7.797,10.174,0.000497,0.457
63,1565.37,0.00,0.00,0.00,0.000,0.000,13,1.0,0.615,6.254,0.000,0.000451,0.471
64,-620.01,0.00,0.00,0.00,0.000,0.000,22,1.0,0.500,-2.405,0.000,0.000459,0.471
65,1008.71,479.95,479.95,479.95,1.000,1.000,12,2.0,0.500,3.485,39.502,0.000475,0.497
66,412.30,463.41,890.23,852.93,0.633,1.000,20,2.8,0.550,1.237,8.645,0.000464,0.494
67,-222.41,851.87,745.64,788.14,0.700,1.000,17,1.6,0.471,-0.635,7.413,0.000460,0.490
68,-95.89,400.73,400.73,400.73,1.000,1.000,17,2.0,0.529,-0.462,127.330,0.000469,0.485
69,-1199.85,554.20,554.20,648.44,0.520,1.000,19,10.0,0.421,-2.968,1.568,0.000431,0.481
70,1415.45,1232.26,1083.88,1148.55,0.641,1.000,18,11.2,0.556,5.324,4.632,0.000443,0.477
71,301.84,-257.89,-254.76,16.13,0.487,0.400,9,11.2,0.667,2.046,0.151,0.000474,0.484
72,56.55,589.27,589.27,639.92,0.620,1.000,8,6.8,0.625,0.395,5.510,0.000451,0.479
73,-421.08,1849.56,1527.99,1638.93,0.596,1.000,13,11.4,0.615,-1.661,5.289,0.000438,0.475
74,1151.32,842.28,842.28,842.28,0.571,1.000,17,7.0,0.765,3.599,4.699,0.000421,0.471
75,762.58,-270.36,-270.36,-270.36,0.500,0.000,13,6.0,0.615,6.629,-1.967,0.000435,0.468
76,-1184.59,397.20,395.89,378.23,0.733,1.000,13,2.6,0.231,-10.083,4.808,0.000410,0.471
77,2146.96,-291.10,636.63,209.78,0.421,0.600,14,7.6,0.500,5.088,1.014,0.000421,0.500
78,176.63,1594.55,1140.33,1219.06,0.860,1.000,21,6.0,0.429,0.508,14.783,0.000409,0.465
79,678.23,223.25,223.25,435.54,0.627,0.600,19,9.6,0.579,2.558,2.237,0.000407,0.477
80,224.97,839.93,431.28,526.81,0.593,1.000,16,7.4,0.500,1.110,3.044,0.000403,0.475
81,937.52,524.98,1247.33,1102.86,0.733,1.000,14,3.8,0.571,4.783,8.176,0.000420,0.471
82,113.07,455.96,455.96,558.40,0.611,1.000,11,9.8,0.455,0.481,3.534,0.000427,0.487
83,754.13,1870.00,1870.00,1870.00,0.750,1.000,21,4.0,0.571,2.214,14.639,0.000410,0.488
84,703.14,0.00,204.07,724.22,0.800,0.800,10,1.0,0.700,5.751,0.000,0.000396,0.487
85,2577.77,-857.18,105.88,154.55,0.500,0.600,11,1.6,0.727,9.610,0.643,0.000408,0.497
86,2.40,194.69,194.69,194.69,0.667,1.000,20,3.0,0.500,0.012,2.327,0.000397,0.462
87,1578.11,505.30,505.30,505.30,1.000,1.000,13,3.0,0.538,4.467,19.807,0.000403,0.471
88,-1512.75,-183.40,-183.40,-134.02,0.764,0.200,15,11.8,0.533,-2.891,-0.288,0.000396,0.471
89,1123.22,-334.40,-289.03,-422.19,0.447,0.000,14,5.8,0.643,6.742,-3.540,0.000417,0.471
90,265.66,0.00,0.00,0.00,0.000,0.000,13,0.0,0.538,1.685,0.000,0.000390,0.472
91,1293.72,0.00,0.00,0.00,0.000,0.000,16,0.0,0.625,4.102,0.000,0.000394,0.482
92,-1429.90,0.00,0.00,0.00,0.000,0.000,16,0.0,0.375,-6.872,0.000,0.000408,0.479
93,-1077.61,0.00,0.00,0.00,0.000,0.000,13,0.0,0.385,-3.783,0.000,0.000418,0.491
94,-252.94,-6.95,-6.95,-6.95,0.000,0.000,16,1.0,0.438,-1.645,0.000,0.000401,0.498
95,-248.02,2288.83,2116.55,2185.47,0.880,1.000,16,4.6,0.625,-0.571,14.178,0.000400,0.496
96,-101.77,-640.20,-640.20,-604.22,0.457,0.200,13,7.0,0.538,-0.635,-2.414,0.000380,0.496
97,-763.03,0.00,0.00,0.00,0.000,0.000,17,0.0,0.412,-2.908,0.000,0.000422,0.493
98,32.88,0.00,0.00,0.00,0.000,0.000,13,0.0,0.769,0.092,0.000,0.000378,0.458
99,1117.52,551.27,551.27,551.27,0.800,1.000,13,5.0,0.462,4.329,4.881,0.000375,0.478
100,303.46,867.35,867.35,867.35,0.857,1.000,16,7.0,0.500,1.262,6.251,0.000349,0.474
101,-481.84,-909.40,-576.73,-524.28,0.693,0.200,16,5.8,0.438,-3.094,-2.839,0.000397,0.477
102,-1763.46,0.00,0.00,0.00,0.000,0.000,17,0.0,0.412,-4.196,0.000,0.000368,0.472
103,427.96,-653.38,-653.38,-653.38,0.500,0.000,19,2.0,0.421,0.712,-14.252,0.000386,0.469
104,1667.33,-1568.83,-1431.23,-1253.39,0.367,0.000,15,2.8,0.600,5.240,-15.327,0.000361,0.471
105,375.39,0.00,0.00,0.00,0.000,0.000,17,0.0,0.588,1.276,0.000,0.000369,0.500
106,1016.21,0.00,0.00,0.00,0.000,0.000,13,0.0,0.462,2.641,0.000,0.000374,0.465
107,-250.85,-484.06,75.64,183.52,0.333,0.600,17,2.8,0.529,-1.285,-4.688,0.000393,0.471
108,782.06,-252.13,-252.13,-218.13,0.534,0.200,14,6.0,0.571,4.579,-1.090,0.000395,0.498
109,1345.27,-368.07,-368.07,-351.77,0.480,0.000,15,5.0,0.600,3.718,-2.653,0.000400,0.464
110,-313.44,-741.44,-608.14,-415.23,0.733,0.200,9,2.6,0.444,-1.675,-4.264,0.000381,0.481
111,-1381.93,-452.42,-452.42,-158.27,0.800,0.400,13,2.6,0.462,-2.939,3.981,0.000352,0.477
112,-1168.23,0.00,0.00,0.00,0.000,0.000,17,0.0,0.412,-4.122,0.000,0.000377,0.485
113,1411.44,574.70,551.44,563.06,0.317,1.000,19,3.8,0.474,1.775,3.856,0.000391,0.481
114,571.03,1508.71,1508.71,1508.71,1.000,1.000,21,3.0,0.571,2.916,14.996,0.000413,0.484
115,-1019.89,-901.71,-603.28,-709.94,0.313,0.000,18,5.0,0.389,-3.425,-3.869,0.000377,0.479
116,206.74,0.00,0.00,0.00,0.000,0.000,15,0.0,0.667,0.783,0.000,0.000390,0.475
117,256.71,1269.79,1269.79,1269.79,0.667,1.000,18,3.0,0.556,0.731,11.355,0.000408,0.475
118,1704.85,473.29,634.34,975.32,0.754,1.000,16,7.4,0.688,9.129,3.667,0.000406,0.490
119,564.24,2126.73,2126.73,2583.07,0.853,1.000,21,9.2,0.619,1.611,11.814,0.000400,0.485
120,-1066.19,841.75,841.75,904.71,0.662,1.000,12,10.6,0.333,-6.506,4.246,0.000417,0.485
121,4785.35,-576.86,-576.86,-576.86,0.333,0.000,18,3.0,0.667,6.498,-5.323,0.000410,0.481
122,-392.99,424.29,424.29,491.49,0.837,1.000,20,4.8,0.400,-2.210,6.904,0.000428,0.477
123,1593.47,0.00,0.00,0.00,0.000,0.000,16,0.0,0.750,7.098,0.000,0.000423,0.472
124,-1402.09,0.00,0.00,0.00,0.000,0.000,13,0.0,0.462,-5.035,0.000,0.000448,0.490
125,956.31,2268.68,2264.42,2244.97,0.762,1.000,17,6.6,0.588,3.766,10.232,0.000427,0.485
126,2006.82,1429.16,1429.16,1548.94,0.733,1.000,24,6.8,0.625,5.705,6.979,0.000434,0.481
127,2049.26,232.30,232.30,232.30,0.500,1.000,16,4.0,0.688,7.868,2.465,0.000444,0.490
