episode,reward,profit_dollars,num_trades,sharpe_ratio,win_rate,max_drawdown,loss,avg_loss,epsilon,oos_profit_dollars,oos_num_trades,oos_sharpe_ratio,oos_win_rate,oos_max_drawdown,target_achieved,profit_gap,quality_score
44,-0.1079,-614.09,6,-7.844,0.500,0.066,0.0547,2.6088,0.353,0.00,1,0.000,0.000,0.000,0,1114.09,0.0
45,0.0768,-194.36,6,-2.175,0.500,0.068,0.0588,2.4223,0.384,0.00,0,0.000,0.000,0.000,0,694.36,12.0
46,0.0818,161.33,4,5.069,0.500,0.016,0.0555,2.2218,0.349,0.00,0,0.000,0.000,0.000,0,338.67,60.4
47,0.4852,1305.57,7,7.538,0.571,0.041,0.0334,2.0136,0.380,0.00,1,0.000,0.000,0.000,1,-805.57,89.3
48,-0.8183,-1731.10,9,-13.133,0.333,0.173,0.0351,1.8091,0.345,0.00,1,0.000,0.000,0.000,0,2231.10,0.0
49,0.0095,-58.54,10,-0.303,0.500,0.099,0.0393,1.6263,0.376,510.24,9,3.998,0.556,0.035,0,558.54,22.8
50,0.0118,-384.00,4,-21.221,0.000,0.038,0.0399,1.4315,0.410,0.00,1,0.000,0.000,0.000,0,884.00,0.0
51,-0.2948,-449.42,10,-3.484,0.200,0.074,0.0393,1.2411,0.373,0.00,1,0.000,0.000,0.000,0,949.42,0.0
52,-0.1581,322.16,7,0.984,0.571,0.154,0.0412,1.0619,0.406,0.00,1,0.000,0.000,0.000,0,177.84,59.9
53,0.5132,1446.20,5,15.345,0.800,0.017,0.0324,0.8991,0.369,0.00,0,0.000,0.000,0.000,1,-946.20,95.0
54,0.0275,-144.89,6,-2.814,0.333,0.034,0.0269,0.7801,0.402,0.00,0,0.000,0.000,0.000,0,644.89,11.7
55,0.5540,1292.38,6,23.678,1.000,0.000,0.0274,0.6880,0.365,0.00,1,0.000,0.000,0.000,1,-792.38,100.0
56,-0.2127,-991.81,5,-6.950,0.200,0.141,0.0293,0.6187,0.398,0.00,1,0.000,0.000,0.000,0,1491.81,0.0
57,0.1574,160.46,7,1.328,0.571,0.031,0.0199,0.5376,0.361,0.00,0,0.000,0.000,0.000,0,339.54,55.4
58,0.3974,655.72,5,13.105,0.600,0.011,0.0285,0.4419,0.328,0.00,1,0.000,0.000,0.000,1,-155.72,90.0
59,0.3038,686.54,7,5.631,0.429,0.017,0.0206,0.3493,0.298,0.00,0,0.000,0.000,0.000,1,-186.54,85.7
60,0.1566,88.35,4,2.028,0.750,0.022,0.0223,0.2717,0.324,0.00,1,0.000,0.000,0.000,0,411.65,60.8
