episode,train_profit,oos_profit,train_trades,oos_trades,train_win_rate,oos_win_rate,train_sharpe,oos_sharpe,loss,epsilon
77,-787.33,0.00,9,0,0.444,0.000,-8.397,0.000,0.000279,0.346
78,-215.10,0.00,9,1,0.556,0.000,-1.927,0.000,0.000265,0.407
79,-292.77,0.00,6,0,0.667,0.000,-2.840,0.000,0.000305,0.400
80,-732.66,0.00,11,1,0.091,0.000,-10.816,0.000,0.000271,0.393
81,710.75,0.00,8,0,0.500,0.000,5.875,0.000,0.000229,0.386
82,-1076.37,0.00,8,0,0.375,0.000,-5.032,0.000,0.000250,0.379
83,-239.03,0.00,11,0,0.364,0.000,-0.460,0.000,0.000243,0.372
84,-380.70,0.00,8,0,0.625,0.000,-1.794,0.000,0.000249,0.365
85,470.26,0.00,9,1,0.556,0.000,2.187,0.000,0.000582,0.359
86,-57.42,0.00,11,0,0.636,0.000,-0.499,0.000,0.001764,0.352
87,-555.83,0.00,15,0,0.333,0.000,-3.844,0.000,0.000419,0.346
88,1309.72,0.00,13,0,0.538,0.000,6.143,0.000,0.000295,0.340
89,-1281.94,0.00,11,1,0.364,0.000,-4.545,0.000,0.000287,0.334
90,-669.01,0.00,11,1,0.273,0.000,-6.373,0.000,0.000285,0.328
91,2678.58,0.00,11,1,0.636,0.000,6.751,0.000,0.000278,0.322
92,590.19,0.00,10,1,0.400,0.000,2.522,0.000,0.000275,0.316
93,-938.92,0.00,12,1,0.583,0.000,-5.418,0.000,0.001748,0.372
94,-1559.15,0.00,5,0,0.600,0.000,-7.777,0.000,0.000389,0.365
95,298.76,0.00,6,0,0.667,0.000,9.690,0.000,0.000338,0.359
96,1640.82,0.00,10,1,0.500,0.000,6.876,0.000,0.000288,0.352
97,-215.66,0.00,13,0,0.462,0.000,-0.931,0.000,0.000268,0.346
98,-114.12,0.00,6,0,0.500,0.000,-0.913,0.000,0.000284,0.340
99,1513.54,0.00,7,1,0.571,0.000,6.371,0.000,0.000248,0.334
100,636.23,0.00,9,0,0.444,0.000,4.043,0.000,0.000234,0.328
101,-400.42,0.00,7,1,0.571,0.000,-3.486,0.000,0.000233,0.322
102,-683.37,0.00,8,0,0.500,0.000,-4.251,0.000,0.000236,0.316
103,218.63,0.00,5,1,0.200,0.000,2.476,0.000,0.000216,0.372
104,297.14,0.00,15,1,0.467,0.000,1.747,0.000,0.000220,0.366
105,-747.41,0.00,9,0,0.444,0.000,-2.699,0.000,0.000220,0.359
106,314.50,0.00,11,1,0.636,0.000,1.195,0.000,0.006449,0.353
107,-589.20,0.00,12,0,0.250,0.000,-4.011,0.000,0.019522,0.346
108,-1269.55,0.00,9,0,0.111,0.000,-7.014,0.000,0.002979,0.340
109,-252.53,0.00,8,0,0.250,0.000,-1.798,0.000,0.000986,0.334
110,21.18,0.00,7,1,0.429,0.000,0.385,0.000,0.000636,0.393
111,567.40,0.00,9,1,0.444,0.000,2.534,0.000,0.000453,0.386
112,-1789.52,0.00,7,0,0.286,0.000,-10.873,0.000,0.000412,0.379
113,-160.32,0.00,10,1,0.600,0.000,-1.547,0.000,0.000338,0.373
114,-595.01,0.00,9,1,0.111,0.000,-3.817,0.000,0.000298,0.366
115,1267.67,0.00,13,0,0.846,0.000,9.265,0.000,0.000305,0.359
116,-491.17,0.00,7,0,0.571,0.000,-2.583,0.000,0.000277,0.353
117,735.33,0.00,11,0,0.727,0.000,9.503,0.000,0.000287,0.346
118,547.27,0.00,6,0,0.833,0.000,13.565,0.000,0.000270,0.340
119,-375.34,0.00,6,0,0.667,0.000,-2.622,0.000,0.000262,0.334
120,599.96,0.00,7,1,0.571,0.000,2.570,0.000,0.000263,0.328
121,-1725.90,0.00,8,0,0.625,0.000,-4.282,0.000,0.000265,0.322
122,957.46,0.00,7,0,0.571,0.000,3.416,0.000,0.000274,0.316
123,-105.22,0.00,11,0,0.455,0.000,-0.769,0.000,0.000252,0.311
124,-230.85,0.00,4,1,0.500,0.000,-2.990,0.000,0.000267,0.366
125,-1060.56,0.00,11,0,0.364,0.000,-6.014,0.000,0.000233,0.359
126,1175.81,0.00,6,0,0.833,0.000,14.748,0.000,0.000214,0.353
127,-359.58,0.00,9,1,0.333,0.000,-5.781,0.000,0.000209,0.347
128,1723.95,0.00,8,0,0.625,0.000,5.287,0.000,0.000227,0.340
129,-102.33,0.00,9,0,0.444,0.000,-0.440,0.000,0.000197,0.401
130,489.19,0.00,15,0,0.667,0.000,1.360,0.000,0.000205,0.394
131,1443.89,0.00,17,1,0.529,0.000,5.753,0.000,0.000214,0.387
132,134.63,0.00,8,1,0.625,0.000,0.730,0.000,0.000197,0.380
133,-148.82,0.00,9,0,0.556,0.000,-0.774,0.000,0.000213,0.373
134,-414.07,0.00,15,0,0.533,0.000,-1.657,0.000,0.000187,0.366
135,-1525.85,0.00,8,0,0.250,0.000,-8.762,0.000,0.000199,0.432
136,503.32,0.00,7,1,0.571,0.000,3.714,0.000,0.000205,0.424
137,803.34,0.00,10,0,0.600,0.000,4.652,0.000,0.000196,0.416
138,1570.56,0.00,7,0,0.857,0.000,14.015,0.000,0.000195,0.409
139,950.11,0.00,11,0,0.545,0.000,4.402,0.000,0.000199,0.401
140,-806.70,0.00,10,1,0.300,0.000,-8.929,0.000,0.000205,0.394
141,1723.71,0.00,12,1,0.750,0.000,7.662,0.000,0.000190,0.387
142,840.49,0.00,11,0,0.545,0.000,6.743,0.000,0.000182,0.380
143,179.54,0.00,12,0,0.583,0.000,1.295,0.000,0.000195,0.373
144,-167.98,0.00,10,1,0.400,0.000,-1.074,0.000,0.000190,0.366
145,341.63,0.00,12,1,0.667,0.000,2.664,0.000,0.000194,0.360
146,-720.80,0.00,12,0,0.417,0.000,-6.351,0.000,0.000185,0.353
147,-235.79,0.00,10,1,0.400,0.000,-1.840,0.000,0.000181,0.347
148,626.29,0.00,11,0,0.455,0.000,2.760,0.000,0.000205,0.409
149,-994.37,0.00,10,1,0.400,0.000,-5.903,0.000,0.000184,0.402
