episode,reward,profit_dollars,num_trades,sharpe_ratio,win_rate,max_drawdown,loss,avg_loss,epsilon,oos_profit_dollars,oos_num_trades,oos_sharpe_ratio,oos_win_rate,oos_max_drawdown,target_achieved,profit_gap,stability_score,consecutive_good
227,0.2194,889.90,17,2.742,0.353,0.038,26.4661,24.4739,0.495,0.00,1,0.000,0.000,0.000,1,-89.90,0.400,1
228,-0.5008,-980.52,14,-4.941,0.286,0.098,24.2522,24.5045,0.497,0.00,1,0.000,0.000,0.000,0,1780.52,0.400,0
229,0.1451,347.29,15,2.573,0.467,0.027,26.9073,24.6177,0.499,0.00,1,0.000,0.000,0.000,0,452.71,0.400,0
230,0.0431,674.25,16,1.731,0.625,0.134,26.6631,24.7807,0.500,0.00,1,0.000,0.000,0.000,0,125.75,0.400,0
231,0.3627,960.72,17,2.245,0.588,0.078,25.7833,24.9609,0.495,0.00,1,0.000,0.000,0.000,1,-160.72,0.400,1
232,0.1845,341.14,9,2.137,0.444,0.042,27.5990,25.1298,0.490,0.00,0,0.000,0.000,0.000,0,458.86,0.400,0
233,-0.0373,-99.36,5,-0.821,0.400,0.049,27.9858,25.3833,0.500,0.00,0,0.000,0.000,0.000,0,899.36,0.400,0
234,-0.0484,142.91,3,4.699,0.333,0.009,27.6070,25.5284,0.495,0.00,0,0.000,0.000,0.000,0,657.09,0.400,0
235,-0.1352,-490.39,6,-6.482,0.500,0.072,27.1675,25.6940,0.499,0.00,0,0.000,0.000,0.000,0,1290.39,0.400,0
236,-0.2568,-892.08,4,-13.758,0.250,0.097,28.4283,25.8489,0.493,0.00,0,0.000,0.000,0.000,0,1692.08,0.400,0
237,0.0023,-522.82,8,-5.111,0.500,0.059,26.2339,25.9739,0.488,0.00,0,0.000,0.000,0.000,0,1322.82,0.400,0
238,0.2317,305.13,10,1.872,0.600,0.066,27.3119,26.0538,0.498,0.00,0,0.000,0.000,0.000,0,494.87,0.400,0
239,-0.1033,-383.07,4,-4.851,0.250,0.043,26.9709,26.2313,0.499,0.00,0,0.000,0.000,0.000,0,1183.07,0.400,0
240,-0.0719,-269.03,5,-7.962,0.200,0.040,25.6425,26.3879,0.494,0.00,0,0.000,0.000,0.000,0,1069.03,0.400,0
241,0.0207,-189.59,7,-3.007,0.286,0.041,24.5476,26.2249,0.489,0.00,0,0.000,0.000,0.000,0,989.59,0.400,0
242,0.3342,1139.82,4,10.225,0.750,0.004,23.8303,26.0156,0.499,0.00,0,0.000,0.000,0.000,1,-339.82,0.400,1
243,-0.5298,-554.82,9,-2.156,0.667,0.162,24.9217,26.1295,0.494,0.00,0,0.000,0.000,0.000,0,1354.82,0.400,0
244,0.1436,140.41,7,1.289,0.286,0.057,28.3570,26.3077,0.496,0.00,0,0.000,0.000,0.000,0,659.59,0.400,0
245,0.3638,567.23,5,19.660,0.800,0.004,28.0671,26.4826,0.497,0.00,0,0.000,0.000,0.000,0,232.77,0.400,0
246,-0.2041,-924.75,9,-6.832,0.444,0.099,25.5732,26.5158,0.492,0.00,0,0.000,0.000,0.000,0,1724.75,0.400,0
247,0.2780,298.18,15,2.312,0.467,0.037,26.9071,26.5378,0.496,0.00,1,0.000,0.000,0.000,0,501.82,0.400,0
248,-0.1221,543.65,17,1.290,0.588,0.112,27.3069,26.6906,0.499,0.00,1,0.000,0.000,0.000,0,256.35,0.400,0
249,0.7518,2190.64,13,7.346,0.538,0.054,26.9489,26.6927,0.494,0.00,1,0.000,0.000,0.000,1,-1390.64,0.400,1
